Longitude,Latitude
8.694,53.862
7.333333,53.7
4.883334,52.366668
-63.15,17.381
6.6,52.85
5.8975,50.9455
5.9704,52.1508
14.106008,40.61004
-88.7,17.066667
-59.22,-51.73
-80.375481,-2.663256
38.7,-5.34
-45.0,47.0
-80.5,19.5
20.0,58.0
26.0995,60.1384
121.666667,19.25
122.137,13.397
114.2833,11.0522
118.93,10.227
120.196,16.275
126.566,33.227
168.017,-16.63
-61.2872,12.9843
-61.355,12.6333
107.73,20.13
107.34,17.16
103.49,9.31
4.8057,5.5902
119.5,-4.75
-66.5,18.25
-63.109,18.052
-162.0,-17.0
-87.913,19.596
-88.288,17.337
-85.437,16.014
-105.222222,20.645833
101.8519,2.4069
147.7,-18.283333
119.1144,-4.8756
120.7798,21.9483
-81.2079,29.5845
-157.9868,21.473
-75.75,10.166667
110.4396,-5.8489
114.0453,-7.2025
106.5805,-5.545
126.4983,33.489
118.9542,-4.7014
119.4629,-4.7668
119.2346,-4.8113
121.774,12.8797
121.1023,10.9534
12.9,54.466667
8.646408,54.456302
-81.1420627,7.8010445
-81.7831971,7.3103559
-86.7434479,12.8563647
-87.132311,15.7750233
-80.8809186,-5.5448178
-69.6667187,19.1665479
-76.9670489,21.4414713
-85.1586576,10.102141
-84.8140026,9.7262165
-105.4590828,21.9076305
-112.1016487,25.3716987
-78.9063101,1.283649
-80.2448004,-2.6244597
-79.6246771,-2.4195025
-79.9667,-2.2
-79.744,-2.509
-78.186249,2.968728
-74.0657025,11.3067039
-81.7073435,12.5449786
-78.7903328,1.7876052
-74.416667,10.866667
-77.431,5.84148
-78.2654387,2.4875401
-73.1211249,11.3712304
-74.4199072,10.9677291
-76.5469069,3.7186564
-77.234,6.0208
-75.5751,6.2074
-68.261944,12.185278
128.43,-3.1027
4.233333,51.333333
-62.976667,17.490278
-63.234722,17.630556
4.215833,51.771667
116.785,1.2283
112.2384,-7.5361
5.1511,53.1697
4.883333,52.366667
124.0,10.25
80.110278,6.147222
105.09085,8.692626
99.33311,9.14011
145.45,15.15
-64.75,18.33
123.72109,8.434416
-88.390154,16.129827
127.7974,-4.8312298
119.54602,-4.735836
119.48846,-4.743932
119.49194,-4.765257
119.49195,-4.982444
101.11758,4.69395
-61.0,14.666667
-90.07,29.8
-91.55,18.616664
-90.5,-0.5
-51.976979,-0.690871
-51.406,3.704
-50.203,1.587
36.2833,-18.8333
95.1,15.8333
-102.5528,23.6345
39.9568,3.3592
106.8635,10.5083
160.1562,-9.6457
-78.9167,20.8333
178.1069,-18.3763
40.3648,2.5648
-80.555,25.7459
-75.4944,10.4458
97.640833,8.6525
-2.8594,54.084
1.3,52.933333
-1.8009,55.6808
147.6992,-18.2871
38.5126,20.2802
109.305785,12.167487
-76.1,37.8
-75.818333,14.525556
-88.0333333,16.5666667
-88.3713,16.5212
98.7784,7.7407
-87.167,20.5536
-60.9789,13.9094
8.4689,60.472
-97.052684,27.836461
-156.6385,21.0139
-157.806,21.262
-157.6938,21.269
-157.694444,21.271389
119.8675,8.953333
99.6519,6.6487
98.7818,8.0481
99.666,9.6583
97.8776,9.4511
99.0992,7.4704
102.2693,12.1247
97.6467,8.6579
101.4654,12.5733
98.3019,8.1106
-59.4876,13.0801
-86.8755,20.8478
-87.024722,20.293611
-170.6950175,-14.3064071
-68.2937,12.1717
-75.6281,9.4124
-77.2924,5.6797
165.618042,-20.904305
164.7,-20.96667
-65.56805,18.348611
-64.618103,18.436539
104.61375,-2.391635
103.015,5.775
48.5,30.25
100.04,6.0625333
-78.339386,18.311018
-83.583333,43.916667
122.877,11.323
-81.24,24.68
-69.683,18.448
39.344444,-6.155
39.729,-4.022
124.65,1.666667
79.8472222,7.1536111
145.7703,-16.9225
117.92067,24.438543
113.6333,22.7667
122.32209,11.575564
72.619218,21.336988
72.245543,21.771243
72.866841,22.233232
68.496712,23.602057
72.680006,21.462605
73.785614,22.958684
72.71301,21.139172
-0.786,37.7702
-64.75,32.333333
39.501369,-4.438543
89.42,22.05
39.363889,-7.773889
38.85,-5.4
25.0,-30.0
36.25,-18.75
107.869912,16.319709
107.4973,16.6202
106.33,10.31
105.98,20.25
45.138333,-12.843056
109.23736,13.83231
109.24315,13.803283
12.3,44.92
76.25,10.03
153.37,-29.43
151.78,-32.9
-15.5997222,27.965
122.0,13.0
-158.0,21.5
117.355,-0.645815
123.198,13.722
146.65,-35.1
74.379876,14.492964
-170.0,-14.33
34.2539,28.278
38.0,22.0
34.234,27.742
-3.202136,54.080854
5.23,53.23
-35.24958,-5.52749
18.73581,59.38778
34.082,0.038
15.08,36.78
110.36522,1.544765
98.6,8.283333
121.07,-6.62
83.25,41.0333333
72.663148,21.257534
99.32,9.13
124.216667,9.884444
124.285,10.257
133.416667,-2.333333
121.687,13.972
-105.57,20.699
-109.421,23.389
116.25,-8.25
-2.9,50.7
-83.761,44.0185
80.786095,6.012671
80.825093,6.045905
80.820871,6.041371
80.854184,6.062529
-61.464033,10.59141
74.398499,14.494051
89.2385,22.249
89.6096,22.0221
89.2426,22.2511
116.0,5.966
121.560771,40.869711
126.35,34.766
102.334,12.056
106.99316,20.799997
146.17,-18.65
168.338972,-17.799111
167.5,-16.3
121.733047,13.970681
6.21,5.39
178.36561,-18.13732
177.46,-18.01
12.19,45.43
120.23,16.02
53.696801,36.782684
162.97,5.35
-1.283,53.6
153.17,-27.33
23.676944,-19.761944
22.296667,-19.113056
21.845833,-18.369167
-80.92,25.55
-77.0833,26.4667
-87.78,13.43
39.67,-4.05
137.415774,-30.000233
136.209152,-30.000233
55.67,-4.58
13.32,45.75
13.5004,45.7569
-6.333333,49.916667
80.938114,6.085575
81.121451,6.132105
119.583333,-5.416667
0.86,51.77
122.349105,45.025699
-6.437461,37.03353
106.88,10.6
-82.873,24.629
-81.230344,25.514789
-0.2,53.7
133.7751312,-25.2743988
177.45,-17.62
-77.921111,18.469444
1.137023,51.940306
0.583333,51.75
-0.292508,50.766652
67.7,24.1
-1.2426,59.9368
-1.2401,55.684
-2.525,50.621
-5.046,50.205
-4.217,51.07
1.056,52.959
0.54,52.96
-3.8685,50.287
-4.2199,50.423
0.942,53.251
-1.295556,50.575
-5.6511,54.3336
0.729,53.544
-0.716,54.564
-4.944,53.517
-3.876,54.342
-5.382,52.626
0.273,53.408
0.256,54.492
-0.352,54.264
1.352,52.954
0.4411,53.818
0.035,53.775
-0.8635,60.6376
-0.8808,57.3901
-3.9425,50.314
-3.6184,50.396
-3.5764,54.466
0.986,52.958
-2.9782,51.4686
-4.8671,50.529
1.5882,51.256
1.38,51.378
0.997,52.964
0.967,51.083
0.9327,51.368
0.6508,51.413
-1.6157,55.388
-1.8846,50.686
-2.5303,50.591
-3.0564,50.713
-3.3077,50.634
1.7984,51.665
-5.9204,50.217
-6.5066,57.0241
-6.5932,50.903
-7.6371,57.525
-5.0420957,50.1438
-6.13,49.74
-5.066,50.153
-5.681,50.036
-5.863,51.493
-6.251,51.336
1.666,51.241
1.3964,51.157
1.2808,51.022
1.278,51.093
0.978,51.715
0.8823,50.734
0.4216,50.774
0.4,50.567
0.1667,51.05
0.0692,50.769
-0.4639,50.727
-5.6157,51.7264
-5.4356,55.1747
-5.1898,56.1256
-5.1674,55.4627
-1.6171,55.506
-1.62,56.455
-2.8735,59.3691
-2.9086,53.724
-2.9643,59.1416
-3.0224,58.4641
-3.1473,59.5156
-3.2164,53.3283
-3.666667,54.75
-3.313,58.2668
-3.4819,54.766
-3.5355,54.071
-4.0866,51.188
-4.3035,51.232
-4.3664,52.6913
-4.3764,51.6668
-4.6171,52.2464
-4.7083,50.796
-4.8803,51.289
-5.105,50.419
-0.5902,50.263
-0.7206,50.494
-0.7629,50.762
-6.653,50.498
-8.0,50.0
-6.3203,49.935
-0.7956,50.717
-5.4708,50.111
-0.8746,50.652
-1.05,51.0167
-1.0759,50.663
-1.1586,50.7329
-1.286,50.559
-1.405,50.732
-1.5711,50.678
-1.9387,50.653
-2.135,50.61
-2.2124,50.386
-2.45,50.5
-3.22,53.38
-3.2178,53.747
-3.556944,50.452222
-3.6199,50.194
-4.3442,50.343
-4.6384,50.369
-4.8061,49.418
-5.0493,50.046
-5.0585,50.546
-1.517,55.15
177.853181,-17.010742
-89.75,21.266667
100.20611,5.431509
-3.0,55.0
-72.43,41.07
99.004318,7.930706
5.50758,5.35091
6.86236,4.73614
8.583,10.167
18.0,35.0
-83.6,8.87
100.17993,8.438163
66.308274,25.568037
4.7,48.57
39.236003,-4.651811
39.402943,-4.57585
39.566671,-4.042887
87.0,20.75
119.4075,11.19556
72.677837,21.134123
76.342393,9.866882
8.53,53.88
108.3,23.6
81.188467,7.566823
81.08,6.25
-81.47,31.1
-80.67,28.58
-79.33,33.17
1.74411,52.462507
1.738441,52.601145
100.0,4.0
79.25,9.5
85.418015,19.775105
-87.92,13.18
11.85,45.73
178.457,-18.144
4.5,43.5
108.8076,23.7248
8.74816,5.580067
-0.6548889,53.5941389
-90.85,29.38
-43.695556,-22.968889
99.835438,6.467602
93.991157,19.391839
98.565921,9.566958
100.64567,4.676744
80.990543,8.893947
88.195447,21.676063
96.211389,5.205313
90.3563,23.685
79.83,7.22
103.62,10.57
-9.669779,30.075873
-77.5,18.25
100.68,4.82
105.15,8.95
-61.1,10.6
68.267781,26.106303
68.011653,23.988299
55.066667,26.866667
78.656891,11.127123
138.59863,-34.92866
119.9278,12.158619
-41.0505,-21.63733
86.727,20.435
85.34,19.74
3.0,42.68
119.868,16.287
17.1,58.67
139.55,-36.033333
-1.46708,52.56438
102.221389,12.454722
90.037766,21.884576
89.935375,21.987739
90.148073,21.80898
91.712179,22.488169
91.507598,22.710747
90.636177,21.937301
91.12438,22.144656
-149.833333,-17.533333
-4.666667,51.166667
33.84567,27.244073
-77.112,17.694
120.0,-5.0
-75.2479,39.1202
118.63592,9.506897
124.1671,10.2004
-71.0,-34.0
4.659819,43.35399
-160.0,21.0
-63.069228,18.017626
79.833333,6.916667
110.33,1.55
143.218889,-34.728611
138.92,-34.7
-6.27,34.85
-81.631667,28.133333
-82.756,28.1191
-80.597,28.0387
-121.8398,36.8994
-75.8738,36.555
-4.0,57.0
-3.6554167,53.9253056
-1.4559167,50.8202222
-83.57231,8.87067
43.2333,-22.0667
99.374391,10.551738
101.033333,15.35
100.08495,13.037758
-91.55,18.62
103.17,1.65
103.06,11.28
103.017,11.417
103.06,11.47
10.246916,56.562151
123.764935,9.543896
123.931307,10.260535
120.923848,13.75722
102.75283,5.89447
76.5999976,8.9833294
39.900278,-7.751944
53.75,36.8833
160.44635,-9.718747
-60.817,11.183
-61.08,13.866
7.44084,4.53231
6.313792,4.800742
6.312545,4.57235
119.49,16.21
100.73333,4.8499999
124.65202,10.534433
66.271905,25.558805
79.8283,8.0362
-112.0,28.0
