Y,CE,CV,DC,FI,GV,HP,MP,OC,PF,PP,RC,RT,SC,TC,study year,Marginal Valuation,Coastal dunes,Coastal lakes and lagoons,Coastal river deltas,Coastal salt marshes and reedbeds,Mangroves,Muddy shorelines,Riverine estuaries and bays,Rocky shorelines,Tropical dry forests,Tropical rain forests,Aesthetic information,Air quality regulation,Climate regulation,Erosion prevention,"Existence, bequest values",Food,Genetic resources,Information for cognitive development,"Inspiration for culture, art and design",Maintenance of genetic diversity,Maintenance of life cycles,Maintenance of soil fertility,Medicinal resources,Moderation of extreme events,Opportunities for recreation and tourism,Raw materials,Regulation of water flows,Spiritual experience,Waste treatment,Water,Ecosystem study site size,latitude,longitude,Id value,Id study,Countries,Country_Codes,Continent,Real GDP per capita,Population in 25 km radius,Population in 50 km radius,Population in 75 km radius,Ecosystem area in 25 km radius,Ecosystem area in 50 km radius,Ecosystem area in 75 km radius,Length of coastal segment,Urbanization index
4.8141,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380012,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
12.7591,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380013,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
37.898,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380036,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
118.3783,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,52.933333,1.3,7380034,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
201.0265,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380033,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
3156.7559,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380032,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
13.2643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380035,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
6.6321,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380037,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
69.5443,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380038,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
136.1351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380044,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1.8949,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380043,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
5.327,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380042,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
29.5946,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380041,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
243.148,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2130,52.933333,1.3,7380040,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
51.2973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,7380039,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1.7506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380010,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1.1029,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380009,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
175.1294,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3253,54.084,-2.8594,7380008,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
15.0375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380007,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
87.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.084,-2.8594,7380006,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
700.2399,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.084,-2.8594,7380005,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1312.9498,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.084,-2.8594,7380004,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1.1379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.084,-2.8594,7380003,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
115.4463,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.084,-2.8594,7380002,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
6835.2285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.084,-2.8594,7380001,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
3.2824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.084,-2.8594,7380011,738,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1.8227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.080854,-3.202136,5930003,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1.162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.080854,-3.202136,5930001,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
112.7813,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.080854,-3.202136,5930002,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
15.0375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45462,54.080854,-3.202136,5930004,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
2906.3961,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.080854,-3.202136,5930005,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
5.327,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,52.933333,1.3,5930011,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
51.2973,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,5930010,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
155.6675,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10500,52.933333,1.3,5930009,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
189.4054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10500,52.933333,1.3,5930008,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
175.1294,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3253,54.080854,-3.202136,5930007,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
105.8549,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45462,54.080854,-3.202136,5930006,593,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
18.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5500,51.77,0.86,4080001,408,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
282.8869,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,53.7,-0.2,3840001,384,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1021.3092,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,142,51.940306,1.137023,3630002,363,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
12429.7263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1995,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1760,51.75,0.583333,3630001,363,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
17627.8152,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200,50.621,-2.525,3590132,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
100393.5713,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,50.205,-5.046,3590131,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
196.7083,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,51.07,-4.217,3590130,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
3239.902,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,52.959,1.056,3590128,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
542.3943,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,52.96,0.54,3590127,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
5235.9131,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200,50.287,-3.8685,3590102,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
2507.067,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1500,50.423,-4.2199,3590100,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
23793.0305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,50.314,-3.9425,3590101,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
3163.2436,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,500,50.396,-3.6184,3590103,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
8.6718,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26770,51.4686,-2.9782,3590123,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
6664.2181,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200,50.529,-4.8671,3590121,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
27.8867,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13200,51.083,0.967,3590112,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
158.5351,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5100,51.368,0.9327,3590111,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
252.8948,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6500,51.413,0.6508,3590110,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
998.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,55.388,-1.6157,3590109,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
3030.1762,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,50.713,-3.0564,3590106,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
1395.7614,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,50.634,-3.3077,3590105,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
2079.5069,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1100,50.111,-5.4708,3590004,359,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
36.0519,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,55,-3,3430005,343,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
2.4119,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,55,-3,3430004,343,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
4.5065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,55,-3,3430003,343,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
0.0952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,55,-3,3430002,343,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
29.0065,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2017,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44500,55,-3,3430001,343,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
11.0684,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2009,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,440,53.5941389,-0.6548889,2340004,234,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
24.0299,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,240052,52.56438,-1.46708,1590106,159,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
169.5826,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,240052,52.56438,-1.46708,1590105,159,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
58.296,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,240052,52.56438,-1.46708,1590073,159,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
65.4113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,240052,52.56438,-1.46708,1590056,159,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
2.9335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240052,52.56438,-1.46708,1590011,159,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
82.1387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,240052,52.56438,-1.46708,1590025,159,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
71.7777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240052,52.56438,-1.46708,1590039,159,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
118.6117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2014,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46631,55,-3,780002,78,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
59390.1545,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16120000,53.9253056,-3.6554167,770007,77,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
12455.8776,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16120000,53.9253056,-3.6554167,770008,77,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
56163.5521,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45500,50.8202222,-1.4559167,770004,77,United Kingdom of Great Britain & Northern Ireland,GBR,Europe,,,,,,,,,
